seed,timestep,scenario,emission_model,op_risk,N,E,B,F_daily,P,C,T,s2r,bme,slashed_total,fraud_captured_pct,op_slashed_total,op_exited_total,pid_integral,pid_emission_rate,avg_reputation,downtime_count,rho_corr,ensemble_seed
1014,1824,competitor,pid,True,10974,75238.0,66.5,490.26,2.155072,55419695.0,514265575,0.000884,0.000884,364245693,0.0003,19882,1554,-1.5769,0.6865,0.165,145,0.05,1014
1015,1824,competitor,pid,True,8626,85929.0,153.94,332.61,0.639911,149144636.0,479942029,0.001791,0.001791,329925811,0.0003,16218,1357,-2.1637,0.7841,0.1829,109,0.05,1015
1016,1824,competitor,pid,True,10210,73169.0,92.37,415.27,1.259368,76292891.0,501280088,0.001262,0.001262,351263268,0.0003,16820,1433,-2.071,0.6677,0.1591,142,0.05,1016
1017,1824,competitor,pid,True,11059,28615.0,50.69,483.88,2.795111,50698960.0,513994723,0.001772,0.001772,363982673,0.0007,12050,1546,-4.3546,0.2611,0.177,152,0.05,1017
1018,1824,competitor,pid,True,10646,27397.0,42.69,455.14,3.156466,32581304.0,512686056,0.001558,0.001558,362667552,0.0008,18504,1504,-5.0,0.25,0.1859,129,0.05,1018
1019,1824,competitor,pid,True,8286,68625.0,140.44,330.12,0.709834,94297155.0,505506762,0.002046,0.002046,355484146,0.0003,22616,1446,-3.4045,0.6262,0.1908,116,0.05,1019
1020,1824,competitor,pid,True,11810,27397.0,25.97,525.53,6.624605,37452033.0,513580967,0.000948,0.000948,363561294,0.0008,19673,1552,-5.0,0.25,0.1804,136,0.05,1020
1021,1824,competitor,pid,True,10386,27397.0,32.37,437.55,4.041603,34388304.0,516847659,0.001181,0.001181,366835370,0.0008,12289,1499,-5.0,0.25,0.1763,131,0.05,1021
1022,1824,competitor,pid,True,8137,85391.0,122.24,301.91,0.707192,87838479.0,493137743,0.001432,0.001432,343123106,0.0002,14637,1445,-2.473,0.7792,0.1784,78,0.05,1022
1023,1824,competitor,pid,True,9002,74085.0,112.11,352.03,0.971798,56841990.0,505720686,0.001513,0.001513,355705104,0.0002,15582,1402,-2.6809,0.676,0.1833,189,0.05,1023
1024,1824,competitor,pid,True,9374,35643.0,51.78,339.55,2.064817,82313797.0,498698410,0.001453,0.001453,348680094,0.0006,18316,1497,-4.8344,0.3252,0.1788,108,0.05,1024
1025,1824,competitor,pid,True,11330,61160.0,93.14,502.96,1.666452,52194653.0,528124986,0.001523,0.001523,378115016,0.0003,9970,1397,-2.2325,0.5581,0.1688,141,0.05,1025
1026,1824,competitor,pid,True,9098,43034.0,59.94,350.18,1.656932,49965559.0,496835454,0.001393,0.001393,346817973,0.0004,17481,1509,-4.5285,0.3927,0.174,107,0.05,1026
1027,1824,competitor,pid,True,10539,27397.0,66.3,461.25,2.082825,43849170.0,512572475,0.00242,0.00242,362553744,0.0008,18731,1524,-5.0,0.25,0.1912,134,0.05,1027
1028,1824,competitor,pid,True,11531,27397.0,29.86,452.65,4.69533,42850974.0,524125740,0.00109,0.00109,374113847,0.0006,11893,1511,-4.85,0.25,0.164,129,0.05,1028
1029,1824,competitor,pid,True,8881,52729.0,101.21,365.02,1.080154,106736655.0,486546617,0.00192,0.00192,336534146,0.0004,12471,1358,-4.0362,0.4811,0.1749,119,0.05,1029
1000,1824,competitor,pid,True,9406,35649.0,75.32,392.77,1.495433,48558409.0,502407631,0.002113,0.002113,352388293,0.0005,19338,1546,-4.8087,0.3253,0.1761,115,0.08,1000
1001,1824,competitor,pid,True,9775,35461.0,68.75,387.08,1.688073,54202360.0,503886217,0.001939,0.001939,353869088,0.0005,17129,1529,-4.6177,0.3236,0.1796,113,0.08,1001
1002,1824,competitor,pid,True,11763,27397.0,36.77,543.03,4.352973,30595070.0,517308992,0.001342,0.001342,367290529,0.0009,18463,1590,-5.0,0.25,0.1735,148,0.08,1002
1003,1824,competitor,pid,True,11864,27397.0,18.25,507.86,8.904784,37903191.0,507345336,0.000666,0.000666,357321720,0.0007,23616,1560,-5.0,0.25,0.1829,138,0.08,1003
1004,1824,competitor,pid,True,9584,39976.0,54.25,401.03,2.120698,63398616.0,502172974,0.001357,0.001357,352157394,0.0006,15580,1489,-4.4569,0.3648,0.1787,126,0.08,1004
1005,1824,competitor,pid,True,10267,44776.0,59.82,434.17,2.321777,48698601.0,502033623,0.001336,0.001336,352020548,0.0004,13075,1507,-3.7537,0.4086,0.1605,120,0.08,1005
1006,1824,competitor,pid,True,11583,27397.0,42.86,504.26,3.639621,34416445.0,516714237,0.001565,0.001565,366697141,0.0009,17096,1543,-5.0,0.25,0.1665,137,0.08,1006
1007,1824,competitor,pid,True,10168,43700.0,60.9,456.07,1.984516,39320385.0,512352450,0.001394,0.001394,362338304,0.0004,14146,1461,-3.8712,0.3988,0.1633,122,0.08,1007
1008,1824,competitor,pid,True,9455,38603.0,60.79,353.94,1.679842,48333906.0,511111822,0.001575,0.001575,361092779,0.0004,19043,1464,-4.6011,0.3523,0.1779,109,0.08,1008
1009,1824,competitor,pid,True,8728,59814.0,93.73,320.56,0.965254,69327999.0,501785186,0.001567,0.001567,351774432,0.0002,10754,1477,-3.6949,0.5458,0.1756,101,0.08,1009
1010,1824,competitor,pid,True,8900,53437.0,76.83,368.62,1.523526,83987002.0,491325919,0.001438,0.001438,341304820,0.0004,21099,1414,-4.0011,0.4876,0.182,86,0.08,1010
1011,1824,competitor,pid,True,10389,73240.0,82.7,430.23,1.624694,97306254.0,500390515,0.001129,0.001129,350373698,0.0003,16817,1440,-2.0103,0.6683,0.1506,116,0.08,1011
1012,1824,competitor,pid,True,10443,37365.0,56.43,467.94,2.615163,44318973.0,509201932,0.00151,0.00151,359197292,0.0005,4640,1392,-4.1155,0.341,0.1685,147,0.08,1012
1013,1824,competitor,pid,True,10200,46805.0,61.57,435.93,2.203558,68152140.0,511318695,0.001315,0.001315,361284397,0.0004,34298,1456,-3.6987,0.4271,0.1718,109,0.08,1013
1014,1824,competitor,pid,True,9496,49743.0,65.37,347.15,1.543827,51774030.0,498404501,0.001314,0.001314,348395790,0.0004,8711,1526,-3.9109,0.4539,0.1712,127,0.08,1014
1015,1824,competitor,pid,True,8513,128786.0,133.6,319.79,0.750129,105370389.0,490520916,0.001037,0.001037,340505818,0.0001,15098,1390,0.3633,1.1752,0.1489,116,0.08,1015
1016,1824,competitor,pid,True,9522,46634.0,56.56,364.49,1.964282,67296883.0,500262662,0.001213,0.001213,350247583,0.0005,15079,1475,-4.0703,0.4255,0.1775,116,0.08,1016
1017,1824,competitor,pid,True,11099,27397.0,39.73,485.5,3.589056,49653032.0,510754632,0.00145,0.00145,360739312,0.0007,15320,1495,-5.0,0.25,0.1677,130,0.08,1017
1018,1824,competitor,pid,True,9638,37821.0,57.57,404.89,2.153129,45202784.0,517064631,0.001522,0.001522,367047073,0.0005,17558,1530,-4.5648,0.3451,0.1873,118,0.08,1018
1019,1824,competitor,pid,True,10264,45586.0,50.57,399.22,2.254275,71779217.0,507708932,0.001109,0.001109,357685882,0.0004,23050,1454,-3.8042,0.416,0.1876,114,0.08,1019
1020,1824,competitor,pid,True,10031,33044.0,54.28,419.82,2.294541,49911950.0,510632769,0.001643,0.001643,360627425,0.0006,5344,1500,-4.6353,0.3015,0.1763,138,0.08,1020
1021,1824,competitor,pid,True,10212,56461.0,67.0,391.62,1.946303,51777284.0,509386538,0.001187,0.001187,359370581,0.0004,15957,1459,-3.0873,0.5152,0.1697,131,0.08,1021
